data
;Price;Manufacturer;String Type;Number of Strings;Body Shape;Left-/Right-handed;Color;Finish;Top Wood;Back & Sides Wood;Body Bracing;Neck Wood;Neck Shape;Fingerboard Material;Number of Frets;Scale Length;Tuning Machines;Bridge Material;Nut/Saddle Material;Nut Width;Strings;Case Included;Body Depth;Body Style;Binding;Radius;Fingerboard Inlay;Overall Length;Body Length;Body Width;Electronics;Size;Top Material;Back & Sides Material;Neck Material;Tuners;Nut Material;Body Type;Body Material;Body Finish;Bridge/Tailpiece;Controls;Case/Gig Bag;Binding Material;Saddle Material;Upper Bout Width;Lower Bout Width;Waist Width;Accessories;Neck Joint;Middle Pickup;Bridge Pickup;Switching
37;329.99;Traveler Guitar;Nylon;6;Ultra-Light;Right-handed;Natural;Gloss;Eastern American Hard Maple;Eastern American Hard Maple;;Eastern American Hard Maple;;Black Walnut;22, Medium;"24.75""";Chrome with Pearloid buttons, 16:1 gear ratio;Black Walnut;Phenolic Resin saddle;"1.94""";D'Addario Pro-Arte EJ45;Gig Bag;"2""";;;;;"28""";;"5.25""";Traveler Piezo pickup with Passive electronics;;;;;;;;;;;;;;;;;;;;;;
38;349.00;Luna;Nylon;6;Concert;Right-handed;Natural;Satin;Select Spruce;Mahogany;;Mahogany;C;Pau Ferro;21;"25.5""";Open Gear with Pearloid buttons;Pau Ferro;GraphTech;"1.875""";D'Addario Normal Tension;;;;Wood;Flat;Pearloid Music Notations;;;;Fishman Presys II USB;;;;;;;;;;;;;;;;;;;;;;
39;349.99;Ibanez;Nylon;6;Classical Thinline;Right-handed;Natural;Gloss Polyurethane;Solid Spruce;Sapele;;Okoume;GA;Purpleheart;21;"25.5""";Gold Classical;Walnut;Plastic/Plastic;"1.811""";Ibanez, .028-.043;;;;;;;;;;Ibanez AEQ210T;;;;;;;;;;;;;;;;;;;;;;
40;359.99;Takamine;Nylon;6;Classical;Right-handed;Natural;Gloss;Spruce;Mahogany;Classical Fan;Mahogany;;Laurel;19;"25.6""";Chrome Classical with White Pearl Buttons;Laurel with Compensated Saddle;Synthetic Bone;"2""";Nylon;;;Single Cutaway;;;;;;;Takamine TP-4T preamp with built-in tuner;;;;;;;;;;;;;;;;;;;;;;
41;359.99;Takamine;Nylon;6;Classical;Right-handed;Natural;Gloss;Solid Spruce;Black Walnut;Classical Fan;Mahogany;;Laurel;19;"25.6""";Gold die-cast tuners with pearl buttons;Laurel with Compensated Saddle;Synthetic Bone;"2""";;;;No Cutaway;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;369.00;Cordoba;Nylon;6;3/4-size Classical;Right-handed;;Gloss Polyurethane;Canadian Cedar;Mahogany;Fan Bracing;African Mahogany;;Pau Ferro;19;"24.2""";Gold Tuners with Pearl Buttons;Pau Ferro;Bone;"1.889""";Savarez Cristal Corum High Tension 500CJ;;"3.3""-3.4""";No Cutaway;Indian Rosewood;;;"37.4""";;"12.36""";;;;;;;;;;;;;;;;;;;;;;;
43;369.00;Cordoba;Nylon;6;Classical;Right-handed;Natural;Gloss Polyurethane;Solid Spruce;Mahogany;Fan;Mahogany;C;Pau Ferro;19;"25.5""";Cordoba Gold with Pearl buttons;Pau Ferro;Bone/Bone;"2""";Savarez Cristal Corum High Tension 500CJ;;"4"" (lower), 3.75"" (upper)";No Cutaway;Composite;Flat;;"38.75""";"19.25""";"14.6"" (lower bout), 11.4"" (upper bout)";;;;;;;;;;;;;;;;;;;;;;;
44;379.00;Cordoba;Nylon;6;Spanish Classic;Right-handed;;Gloss Polyurethane;Canadian Cedar;Mahogany;Fan Bracing;Mahogany;;Rosewood;19;"25.6""";Gold Tuners with Pearl Buttons;Indian Rosewood;Bone;"2""";Savarez Cristal Corum in High Tension 500CJ;;"3.7""-3.9""";No Cutaway;Indian Rosewood;;;"39.5""";;"14.75""";;;;;;;;;;;;;;;;;;;;;;;
45;389.00;Cordoba;Nylon;6;Classical Cutaway;Right-handed;Edgeburst;Satin Polyurethane;Solid Mahogany;Mahogany;Fan;Mahogany;C;Pau Ferro;19;"25.5""";Cordoba Gold with Pearl Buttons;Pau Ferro;Bone/Bone;"2""";Savarez Cristal Corum High Tension 500CJ;;"4.0"" lower, 3.75"" upper";;Maple;Flat;;"39.25""";"19.25""";"14.62"" lower bout, 11.25"" upper bout";Fishman Sonitone Classical;;;;;;;;;;;;;;;;;;;;;;
46;399.99;Yamaha;Nylon;6;Classical;Right-handed;;Gloss;Solid Engelmann Spruce;Cypress;;Nato;Flamenco;Rosewood;18;"25.6""";Classical Style;Rosewood;;"2.0625""";Savarez D'angelico Light Tension;;"3.7""-3.94""";No Cutaway;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;449.00;Cordoba;Nylon;6;Classical;Right-handed;Natural;Gloss Polyurethane;Solid Spruce;Mahogany;Fan (top), Ladder (back);Mahogany;C;Pau Ferro;19;"25.6""";Cordoba Silver with Black buttons;Pau Ferro;Composite/Bone;"1.889""";Savarez Cristal High Tension;;;;Composite;"16""";;;;;Fishman Sonitone, Undersaddle Piezo;;;;;;;;;;;;;;;;;;;;;;
48;449.00;Washburn;Nylon;6;Classical;Right-handed;Natural;Gloss;Solid Spruce;Mahogany;Quartersawn Sitka Spruce;Mahogany;;Engineered Wood;19;"25.5""";Classical Gold;Engineered Wood;Graphtech Nubone Nut;"2.04""";D'Addario EJ46 ProArte Hard Tension, .0285-.044;;;Single Cutaway;;;;;;;Fishman Classica II;;;;;;;;;;;;;;;;;;;;;;
49;449.99;Takamine;Nylon;6;Classical;Right-handed;Natural;Gloss;Solid spruce;Mahogany;Classical Fan;Mahogany;;Laurel;19;"25.6""";Chrome Classical with White Pearl Buttons;Laurel with Compensated Saddle;Synthetic Bone;"2""";Nylon;;;Single Cutaway;;;;;;;Takamine TP-4T Preamp with 3-band EQ and Built-in Tuner;;;;;;;;;;;;;;;;;;;;;;
50;459.99;Yamaha;Nylon;6;NTX1 Classical;Right-handed;Natural;Gloss;Spruce;Nato;NX Bracing;Nato;Modern;Walnut;22;"25.5""";Chrome with Matte Black Shafts;Ebony/Walnut;Urea/Urea;"1.875""";Yamaha S10 Mediums;;;;Black/White;"23.625""";;;;;Yamaha Preamp EQ with Tuner;;;;;;;;;;;;;;;;;;;;;;
51;459.99;Yamaha;Nylon;6;NTX1 Classical;Right-handed;Brown Sunburst;Gloss;Spruce;Nato;NX Bracing;Nato;Modern;Walnut;22;"25.5""";Chrome wiith Matte Black Shafts;Ebony/Walnut;Urea/Urea;"1.875""";Yamaha S10 Mediums;;;;Black/White;"23.625""";;;;;Yamaha Preamp EQ with Tuner;;;;;;;;;;;;;;;;;;;;;;
52;459.99;Yamaha;Steel;6;Yamaha CG;Right-handed;Natural;Satin;Sitka Spruce;Select Hardwood;;Nato;;Walnut;19;"25.5""";Chrome with Matte Black Shaft;Ebony/Walnut;Urea/Urea;"2.0""";Yamaha S10 Mediums;;;;Black/White;Flat;;;;;Undersaddle Pickup;;;;;;;;;;;;;;;;;;;;;;
53;459.99;Yamaha;Nylon;6;Classical;Right-handed;Natural;Gloss;Solid Western Red Cedar;Select Hardwood;NX Bracing;Nato;Modern;Walnut;19;"25.5""";Chrome with Matte Black Shafts;Ebony/Walnut;Urea/Urea;"2.06""";Yamaha S10 Mediums;;;;Black/White;Flat;;;;;Atmosfeel Pickup/Preamp;;;;;;;;;;;;;;;;;;;;;;
54;459.99;Yamaha;Nylon;6;NTX1 Classical;Right-handed;Black;Gloss;Solid Sitka Spruce;Nato;NX-bracing;Nato;;Walnut;22;"25.5""";Chrome withh Matte Black Shaft;Ebony/Walnut;Urea/Urea;"1.875""";Yamaha S10 Mediums;;;;Black/White;"23.625""";;;;;Yamaha Preamp EQ with Tuner;;;;;;;;;;;;;;;;;;;;;;
55;469.00;Ovation;Nylon;6;Celebrity Standard Mid-Depth Classical;Right-handed;Black;Gloss;Solid Cedar;Composite Fiberglass;Ovation X-bracing;Mahogany;C;Ovangkol;23, Nickel Silver;"25.6""";Open Gear Side Mount;Ovangkol Classic Nylon;;"1.875""";D'Addario Hard Tension, .010-.046;;;;;"15.75""";;;;;Ovation OP4CT Preamp;;;;;;;;;;;;;;;;;;;;;;
56;469.00;Ovation;Nylon;6;Celebrity Standard Mid-Depth Classical;Right-handed;Natural;Gloss;Solid Cedar;Composite Fiberglass;Ovation X-bracing;Mahogany;C;Ovangkol;23, Nickel Silver;"25.6""";Open Gear Side Mount;Ovangkol Ovation Classic;;"1.6875""";Adamas, .012-.053;;;;;"15.75""";;;;;OP-4CT Preamp;;;;;;;;;;;;;;;;;;;;;;
57;479.00;Cordoba;Nylon;6;Classical;Right-handed;Natural;Gloss Polyurethane;Solid Spruce;Mahogany;Fan;Mahogany;C;Pau Ferro;19;"25.5""";Cordoba Gold with Pearl buttons;Pau Ferro;Bone/Bone;"2""";Savarez Cristal Corum High Tension 500CJ;;"4"" (lower), 3.7"" (upper)";Single Cutaway;Composite;;;"38.75""";"19.25""";"14.6"" (lower bout), 11.5"" (upper bout)";Fishman Isys;;;;;;;;;;;;;;;;;;;;;;
58;489.00;Cordoba;Nylon;6;Spanish Classic;Right-handed;;Gloss Polyurethane;Solid Canadian Cedar;Mahogany;Fan Bracing;Mahogany;Cutaway-Electric Style Neck;Rosewood;19;"25.6""";Gold Tuners;Indian Rosewood;Bone;"1.96""";Savarez Cristal Corum in High Tension 500CJ;;"3.7""-3.9""";Single Cutaway;Indian Rosewood;;;"39""";;"14.75""";Fishman Isys+ with tuner;;;;;;;;;;;;;;;;;;;;;;
59;489.00;Cordoba;Nylon;6;Fusion 5;Right-handed;Sonata Burst;Gloss Polyurethane;Solid Spruce;Mahogany;Black Ladder;Mahogany;C;Pau Ferro;19;"25.6""";Cordoba Silver with Black buttons;Pau Ferro;Composite/Bone;"1.889""";Savarez Cristal Corum High Tension 500CJ, .030-.044;;;;Composite;"16""";;;;;Fishman Sonitone Classical;;;;;;;;;;;;;;;;;;;;;;
60;489.00;Cordoba;Nylon;6;Spanish Flamenco;Right-handed;;Gloss Polyurethane;Solid Canadian Cedar;Mahogany;Spanish Fan Bracing;Mahogany;;Rosewood;19;"25.6""";Cordoba Gold Tuning Machines;Indian Rosewood;Bone;"1.96""";Savarez Cristal Corum High Tension 500CJ;;"2.75""";Single Cutaway;Indian Rosewood;;Mother of Pearl Dots;"39""";;"14.4""";Fishman Isys+ with onboard Tuner;;;;;;;;;;;;;;;;;;;;;;
61;489.00;Seagull Guitars;;4;;;Burst;Semi-gloss;;;;;;Rosewood;18;"13.875""";;;;"1.19""";;;;;;;Dots;;;;Custom Preamp and electronics;Soprano;Solid Sitka Spruce;Solid Maple;Maple;Open Geared;Tusq;;;;;;;;;;;;;;;;
62;489.99;Takamine;Nylon;6;Classical;Right-handed;;Gloss;Solid Spruce;Black Walnut;Classical Fan;Mahogany;;Laurel;19;"25.6""";Gold die-cast tuners with pearl buttons;Laurel with Compensated Saddle;Synthetic Bone;"2""";Nylon;;;Single Cutaway;;;;;;;Takamine TP-4T preamp with 3-band EQ and built-in tuner;;;;;;;;;;;;;;;;;;;;;;
63;499.00;Washburn;Nylon;6;Classical Thin;Right-handed;Natural;Gloss;Solid Spruce;Mahogany;Quartersawn Scalloped Sitka Spruce;Mahogany;;Engineered Wood;19;"25.5""";Chrome Die-cast;Engineered Wood;GraphTech Nubone;"1.69""";D'Addario Pro-Arte Normal Tension, .028-.043;;"2.125""";Single Cutaway;;;;"39.25"" (with endpin)";"18.25"" (with endpin)";"Lower Bout: 14.5"", Upper Bout: 10.25""";4-band EQ with Built-in Tuner;;;;;;;;;;;;;;;;;;;;;;
64;499.00;Luna;Nylon;6;Grand Concert;Right-handed;Natural;Satin;;Exotic Mahogany;;Mahogany;C;Pau Ferro;20;"25.5""";Open Gear;Pau Ferro;Bone/Bone;"1.875""";Savarez Cristal Corum High Tension 500CJ;;;;Multi-ply wood;"15""";Abalone High Tide;;;;Fishman Clasica II;;;;;;;;;;;;;;;;;;;;;;
65;499.00;Cordoba;Nylon;6;Classical;Right-handed;Black;Gloss Polyurethane;Solid Spruce;Mahogany;Fan;Mahogany;C;Pau Ferro;19;"25.6""";Cordoba Silver with Black buttons;Pau Ferro;Bone/Bone;"1.875""";Savarez Cristal Corum High Tension 500CJ;;;;Composite;"16""";;;;;Fishman Sonitone Classical, Undersaddle Piezo;;;;;;;;;;;;;;;;;;;;;;
66;529.00;Cordoba;Nylon;6;Spanish;Right-handed;Natural;Gloss;Solid Spruce;Laminated Spalted Maple;Fan;Mahogany;C;Pau Ferro;19;"25.5""";Cordoba;Pau Ferro;Bone/Bone;"2""";Savarez Cristal Corum High Tension;;;;Composite;;;;;;Fishman Presys II;;;;;;;;;;;;;;;;;;;;;;
67;529.99;Takamine;Nylon;6;Classical;Right-handed;Black;Gloss;Solid Spruce;Black Walnut;;Mahogany;;Laurel;20;;Open Gear;;;"2""";D'Addario Pro Arte;;;;;Classical;;;;;Under-saddle pickup with 3-band EQ;;;;;;;;;;;;;;;;;;;;;;
